stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_city
4490,THOREN,"M. Thorez",,  49.512736,   0.236419,,,0,THOREZ,Gonfreville l'Orcher
4491,THORES,"M. Thorez",,  49.512437,   0.236525,,,0,THOREZ,Gonfreville l'Orcher
5120,TILBON,"Bocage",,  49.689359,   0.205278,,,0,TILBOC,Le Tilleul
5122,TILBOS,"Bocage",,  49.689105,   0.205112,,,0,TILBOC,Le Tilleul
5039,TILEGL,"Eglise",,  49.683325,   0.202326,,,0,TILEGL,Le Tilleul
5123,TILEGS,"Eglise",,  49.683268,   0.202187,,,0,TILEGL,Le Tilleul
5119,TILMON,"La Moyennerie",,  49.677012,   0.197720,,,0,TILMON,Le Tilleul
5124,TILMOS,"La Moyennerie",,  49.677030,   0.197644,,,0,TILMON,Le Tilleul
4547,TOURNE,"Tourneville",,  49.503850,   0.127028,,,0,TOURNE,Le Havre
3659,TOURNO,"Tourneville",,  49.503750,   0.125673,,,0,TOURNE,Le Havre
3584,TROBIE,"Tour Robinson",,  49.504358,   0.153717,,,0,ROBINS,Le Havre
3585,TROBIO,"Tour Robinson",,  49.504404,   0.153770,,,0,ROBINS,Le Havre
5082,TURFOR,"La Forge",,  49.608387,   0.228744,,,0,TURFOR,Turretot
4488,TURGAN,"Turgauville",,  49.505614,   0.238177,,,0,TURGAU,Gonfreville l'Orcher
4489,TURGAS,"Turgauville",,  49.505482,   0.237949,,,0,TURGAU,Gonfreville l'Orcher
3815,UNIVEE,"Université",,  49.497239,   0.129188,,,0,UNIVER,Le Havre
3196,UNIVEO,"Université",,  49.497216,   0.128498,,,0,UNIVER,Le Havre
3999,UQ1,"Université",,  49.496200,   0.127137,,,0,UNIVER,Le Havre
4000,UQ2,"Université",,  49.496181,   0.127042,,,0,UNIVER,Le Havre
3668,VABERE,"Vallée Bereult",,  49.494281,   0.153472,,,0,VBEREU,Le Havre
